Combined Name,Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (g),Sodium (g),Carbs,Fiber,Sugars (g),Protein (g),Weight Watchers Pnts,Weight Watchers Pnts_old
Limited Time Offers_Cinnabon Dessert Biscuits,290,13,7,0,0,0.58,40,2,17,4,6.483333333,310
ORIGINAL RECIPE CHICKEN_Chicken Breast,390,21,4,0,0.12,1.19,11,2,0,39,9.15,355
ORIGINAL RECIPE CHICKEN_Chicken Drumstick,130,8,1.5,0,0.06,0.43,4,1,0,12,3.066666667,119.5
ORIGINAL RECIPE CHICKEN_Chicken Thigh,280,19,4.5,0,0.1,0.91,8,1,0,19,6.983333333,265.5
ORIGINAL RECIPE CHICKEN_Chicken Whole Wing,130,8,2,0,0.06,0.38,3,0,0,10,3.266666667,122
Plain Chicken_Chicken Breast,770,60,10,0,0.11,1.53,21,1,1,35,20.2,746
Plain Chicken_Chicken Drumstick,250,21,3.5,0,0.05,0.53,6,1,0,11,6.55,242.5
Plain Chicken_Chicken Thigh,500,40,7,0,0.1,0.97,11,1,1,22,13.13333333,486
Plain Chicken_Chicken Whole Wing,290,25,4,0,0.05,0.52,6,1,1,10,7.683333333,285
Plain Chicken_Breast,260,12,3,0,0.13,0.79,1,0,0,38,6.2,225
Plain Chicken_Drumstick,100,6,1.5,0,0.06,0.26,0,0,0,11,2.5,90.5
Plain Chicken_Thigh,180,12,3.5,0,0.09,0.47,0,0,0,17,4.6,166.5
Plain Chicken_Whole Wing,90,6,1.5,0,0.05,0.21,1,0,0,9,2.3,82.5
Plain Chicken_Breast,540,40,7,0,0.1,1.39,14,2,1,31,13.73333333,517
Plain Chicken_Drumstick,190,14,2.5,0,0.04,0.51,6,1,0,9,4.766666667,183.5
Plain Chicken_Thigh,390,32,6,0,0.07,0.9,12,2,1,13,10.06666667,384
Plain Chicken_Whole Wing,180,15,2.5,0,0.04,0.45,5,1,0,8,4.65,174.5
EXTRA CRISPY CHICKEN_Chicken Breast,530,35,6,0,0.11,1.15,18,0,0,35,13.51666667,501
EXTRA CRISPY CHICKEN_Chicken Drumstick,170,12,2,0,0.05,0.39,5,0,0,10,4.4,162
EXTRA CRISPY CHICKEN_Chicken Thigh,330,23,4.5,0,0.1,0.7,9,0,0,22,8.516666667,312.5
EXTRA CRISPY CHICKEN_Chicken Whole Wing,170,13,2,0,0.05,0.34,5,0,0,10,4.483333333,162
KENTUCKY GRILLED CHICKEN_Breast,210,7,2,0,0.13,0.71,0,0,0,38,4.783333333,174
KENTUCKY GRILLED CHICKEN_Drumstick,80,4,1,0,0.06,0.22,0,0,0,11,1.933333333,70
KENTUCKY GRILLED CHICKEN_Thigh,150,9,3,0,0.09,0.42,0,0,0,17,3.75,136
KENTUCKY GRILLED CHICKEN_Whole Wing,70,3,1,0,0.05,0.18,0,0,0,9,1.65,62
SPICY CRISPY CHICKEN_Breast,350,20,3.5,0,0.1,1.1,11,1,0,30,8.466666667,323.5
SPICY CRISPY CHICKEN_Drumstick,130,8,1.5,0,0.04,0.42,5,1,0,9,3.066666667,122.5
SPICY CRISPY CHICKEN_Thigh,270,20,3.5,0,0.07,0.72,10,1,0,13,6.866666667,260.5
SPICY CRISPY CHICKEN_Whole Wing,120,8,1.5,0,0.04,0.35,5,0,0,7,3.066666667,114.5
